model,MAPE,SMAPE,RMSE,Bias,sku_id,store,cv_smape,baseline_smape,improvement_vs_baseline
XGBoost,48.87,56.17,26.05,9.69,FOODS_3_090,CA_1,22.55,37.61,15.06
XGBoost,27.56,44.44,18.49,0.2,FOODS_3_090,TX_1,15.98,21.43,5.45
XGBoost,40.99,57.17,9.86,0.47,FOODS_3_090,WI_1,36.44,48.8,12.36
XGBoost,22.26,20.5,10.24,1.27,FOODS_3_252,CA_1,21.7,28.87,7.17
XGBoost,45.2,28.73,10.55,-0.49,FOODS_3_252,TX_1,24.37,28.47,4.1
XGBoost,53.52,37.33,4.61,-0.08,FOODS_3_252,WI_1,59.62,62.79,3.17
XGBoost,22.67,20.35,10.73,3.16,FOODS_3_586,CA_1,20.63,24.6,3.97
XGBoost,18.89,18.35,11.78,0.58,FOODS_3_586,TX_1,19.43,19.71,0.28
XGBoost,31.54,27.48,5.41,0.5,FOODS_3_586,WI_1,33.68,42.71,9.03
XGBoost,230.37,99.65,13.59,3.37,HOBBIES_1_348,CA_1,70.72,68.43,-2.29
XGBoost,107.87,104.97,4.63,0.56,HOBBIES_1_348,TX_1,129.9,98.99,-30.91
XGBoost,92.42,87.87,4.84,0.43,HOBBIES_1_348,WI_1,31.28,39.72,8.44
XGBoost,211.3,83.98,12.06,3.22,HOBBIES_1_371,CA_1,80.15,76.37,-3.78
XGBoost,140.78,112.88,7.15,1.06,HOBBIES_1_371,TX_1,175.62,170.63,-4.99
XGBoost,92.91,71.6,6.92,-0.59,HOBBIES_1_371,WI_1,62.93,67.38,4.45
XGBoost,45.43,40.0,6.2,-1.45,HOUSEHOLD_1_334,CA_1,35.94,40.4,4.46
XGBoost,61.63,44.04,6.84,0.68,HOUSEHOLD_1_334,TX_1,34.96,32.54,-2.42
XGBoost,74.67,57.81,4.46,-0.61,HOUSEHOLD_1_334,WI_1,47.19,42.35,-4.84
XGBoost,112.98,75.42,4.98,0.95,HOUSEHOLD_1_459,CA_1,82.59,91.68,9.09
XGBoost,63.91,46.68,6.57,0.54,HOUSEHOLD_1_459,TX_1,29.58,33.99,4.41
XGBoost,67.32,57.31,5.66,-0.47,HOUSEHOLD_1_459,WI_1,55.87,71.6,15.73
XGBoost,82.22,62.3,4.45,-0.95,HOUSEHOLD_1_521,CA_1,62.7,77.27,14.57
XGBoost,127.45,71.44,7.46,1.77,HOUSEHOLD_1_521,TX_1,100.32,97.2,-3.12
XGBoost,86.95,63.44,4.93,-0.34,HOUSEHOLD_1_521,WI_1,102.69,126.96,24.27
